Repositories,Stars Count,Forks Count,Issues Count,Pull Requests,Contributors,Language,Language Frequency,Frequency Category
simonw/asgi-csrf,40,2,2,0,17,Python,155,Very Popular
openfoodfacts/hungergames-old,4,2,12,0,2,Python,155,Very Popular
asweigart/bext,13,2,4,0,2,Python,155,Very Popular
RonLek/FastV2C-HandNet,8,2,4,0,0,Python,155,Very Popular
trailofbits/cast2gif,7,2,2,0,0,Python,155,Very Popular
lucianmarin/logparser,137,2,1,0,0,Python,155,Very Popular
localstack/chalice-local,17,2,1,0,0,Python,155,Very Popular
AnkushMalaker/HUSE,14,2,1,0,0,Python,155,Very Popular
aviaryan/CloseFolder,9,2,1,0,0,Python,155,Very Popular
SOUMEE2000/Goodreads-Book-Finder-Getting-Started-Project-,3,2,1,0,0,HTML,72,Average Popularity
jakearchibald/aac-decode-bug,0,2,1,0,0,HTML,72,Average Popularity
