Repositories,Stars Count,Forks Count,Issues Count,Pull Requests,Contributors,Language,Language Frequency,Frequency Category
arogozhnikov/infiniteboost,184,22,2,0,3,Jupyter Notebook,29,Average Popularity
defuse/email-spoofing,39,22,1,0,0,Ruby,28,Average Popularity
ethereum/act,126,22,31,0,9,Haskell,1,Unpopular
ritwickdey/ritwickdey.github.io,83,21,2,25,0,TypeScript,37,Average Popularity
ritwickdey/ritwickdey.github.io,83,21,2,25,0,TypeScript,37,Average Popularity
bradtraversy/apex-legends-tracker,127,21,3,7,2,Vue,2,Unpopular
Vectorized/solady,315,21,4,0,10,Solidity,3,Unpopular
donnemartin/donnemartin.github.io,51,20,2,2,0,HTML,72,Average Popularity
devongovett/blob-stream,100,20,2,1,2,JavaScript,253,Very Popular
aviaryan/chattt,248,20,1,0,0,JavaScript,253,Very Popular
felangel/bloc.js,171,19,3,3,5,TypeScript,37,Average Popularity
MariaEduardaDeAzevedo/nosso-py,52,19,1,2,18,Python,155,Very Popular
shazow/apiclient,87,19,2,2,6,Python,155,Very Popular
EddieHubCommunity/EddieBotUI,11,19,5,0,9,JavaScript,253,Very Popular
smaranjitghose/auto_vaidya,18,19,8,0,9,Python,155,Very Popular
Shreeshrii/tess5train-fonts,72,19,3,0,0,HTML,72,Average Popularity
trailofbits/AppJailLauncher,133,19,6,0,5,C++,29,Average Popularity
SauravMukherjee44/Portfolio-Saurav-Mukherjee,37,18,1,0,2,CSS,37,Average Popularity
bradtraversy/bizlight_theme,43,18,1,0,0,CSS,37,Average Popularity
themaaz32/download_teach,18,18,2,0,0,Dart,36,Average Popularity
education/guide,32,18,10,0,12,Ruby,28,Average Popularity
emersonsoares/asdf-dotnet-core,65,17,5,3,7,Shell,25,Average Popularity
whummer/jaxb-facets,27,17,5,2,3,Java,44,Average Popularity
IonicaBizau/anser,50,17,3,0,22,JavaScript,253,Very Popular
antonmedv/chat,54,17,1,0,0,JavaScript,253,Very Popular
ck37/coral-ordinal,48,17,1,0,3,Python,155,Very Popular
defuse/defuse.ca,53,17,14,0,3,HTML,72,Average Popularity
LiveOverflow/NECAnalyzer,44,17,2,0,0,C++,29,Average Popularity
codophobia/Multi-Client-Server-Chat,14,17,1,0,0,C,26,Average Popularity
education/autograding-example-c,7,17,1,0,0,Shell,25,Average Popularity
jishanshaikh4/adblocker-ultimate,16,16,10,3,0,JavaScript,253,Very Popular
Shreeshrii/hindi-hunspell,29,16,3,3,2,Shell,25,Average Popularity
LiveOverflow/minecraft-hacked,160,16,9,2,2,Python,155,Very Popular
trailofbits/algo-ng,65,16,3,1,3,HCL,1,Unpopular
EddieHubCommunity/gh-action-community,24,16,3,0,13,JavaScript,253,Very Popular
nikhilkumarsingh/facebook-messenger-bot,16,16,6,0,0,Python,155,Very Popular
kdeldycke/kevin-deldycke-blog,34,15,3,11,5,Python,155,Very Popular
tinchoabbate/slither-scripts,18,15,3,2,0,Python,155,Very Popular
WhiteHouse/buildmanager,13,15,4,2,4,PHP,16,Unpopular
ethereum/cable,30,15,1,1,2,CMake,1,Unpopular
garimasingh128/Alexa-skills-starters,24,15,18,0,5,Python,155,Very Popular
DeepGautamFullStack/DeepCart,14,15,2,0,0,TypeScript,37,Average Popularity
felangel/codemagic_bloc_unit_tests,12,15,1,0,0,Dart,36,Average Popularity
trailofbits/bisc,71,15,3,0,5,Ruby,28,Average Popularity
ethereum/clef-ui,24,15,13,0,4,QML,1,Unpopular
ethereum/blake2b-py,5,14,4,3,4,Rust,10,Unpopular
salil-naik/a11y.css,20,14,2,2,11,CSS,37,Average Popularity
lmgonzalves/brushstroke,81,14,4,1,2,JavaScript,253,Very Popular
YosephKS/moralis-opensea-plugins,26,14,3,0,0,JavaScript,253,Very Popular
studiomohawk/js-testing-boilerplates,12,14,1,0,0,JavaScript,253,Very Popular
manjurulhoque/android-near-by-places,24,14,5,0,0,Java,44,Average Popularity
iamrajiv/helloworld-grpc-gateway,21,14,1,0,0,Go,15,Unpopular
trailofbits/appjaillauncher-rs,97,14,2,0,4,Rust,10,Unpopular
ethereum/builder-specs,67,13,13,3,9,HTML,72,Average Popularity
EddieHubCommunity/gh-actions-html-table-generator,23,13,6,0,6,JavaScript,253,Very Popular
carloscuesta/starterkit,88,13,2,0,3,JavaScript,253,Very Popular
carloscuesta/starterkit,88,13,2,0,3,JavaScript,253,Very Popular
brettkromkamp/topic-db,216,13,7,0,2,Python,155,Very Popular
themaaz32/audio_playere_tet,17,13,1,0,0,Dart,36,Average Popularity
marcel-dempers/k8s-build-your-own,3,13,1,0,2,Shell,25,Average Popularity
avikalpg/POPL,37,13,1,0,3,Oz,1,Unpopular
feross/blob-to-buffer,68,12,1,1,5,JavaScript,253,Very Popular
rogeriopvl/8bit,82,12,2,1,2,JavaScript,253,Very Popular
EddieHubCommunity/EddieHubLive,15,12,15,0,7,JavaScript,253,Very Popular
saurabhdaware/DEV-widget,94,12,2,0,7,JavaScript,253,Very Popular
antonmedv/jsize,179,12,4,0,4,JavaScript,253,Very Popular
itaditya/background-check,27,12,3,0,2,JavaScript,253,Very Popular
trailofbits/cfg-showcase,38,12,1,0,2,C++,29,Average Popularity
sayakpaul/Benchmarking-and-MLI-experiments-on-the-Adult-dataset,35,12,1,0,0,Jupyter Notebook,29,Average Popularity
Shreeshrii/tessdata_ocrb,56,12,1,0,0,Shell,25,Average Popularity
amacgregor/crimson_commerce,72,11,1,31,3,Elixir,2,Unpopular
google/abstracttext,70,11,8,9,2,JavaScript,253,Very Popular
vivekweb2013/toastmaker,43,11,2,8,2,JavaScript,253,Very Popular
devongovett/apple-color-emoji,54,11,1,2,4,JavaScript,253,Very Popular
WhiteHouse/choropleth_dataset,3,11,1,2,4,JavaScript,253,Very Popular
aviaryan/BrainGames,45,11,5,1,0,Python,155,Very Popular
taniarascia/accordion,116,11,2,0,0,JavaScript,253,Very Popular
CharlesCreativeContent/CodeWars,60,11,2,0,0,JavaScript,253,Very Popular
andrewjmead/short-lnk-meteor-course,5,11,2,0,0,JavaScript,253,Very Popular
ahmedEid1/E-Learning-Platform,11,11,1,0,0,JavaScript,253,Very Popular
trailofbits/constexpr-everything,231,11,3,0,6,C++,29,Average Popularity
nikhilkumarsingh/discovering-hidden-apis,7,11,1,0,0,Jupyter Notebook,29,Average Popularity
ralexstokes/ethereum-consensus,41,11,21,0,7,Rust,10,Unpopular
ralexstokes/beacon-api-client,17,10,8,3,7,Rust,10,Unpopular
localstack/aws-cdk-local,176,10,4,1,7,JavaScript,253,Very Popular
tapaswenipathak/Blacklist-By-Words,20,10,3,1,3,JavaScript,253,Very Popular
btholt/btholt.github.io,7,10,1,1,0,CSS,37,Average Popularity
studiomohawk/jekyll-theme-the_minimum,42,10,1,1,0,Ruby,28,Average Popularity
feross/capture-frame,112,10,1,0,2,JavaScript,253,Very Popular
bradtraversy/aioweb,13,10,2,0,0,PHP,16,Unpopular
antonmedv/gofx,234,10,2,0,2,Go,15,Unpopular
zemse/create-solidity-project,8,9,15,19,3,JavaScript,253,Very Popular
mitsuhiko/clicolors-control,19,9,4,2,5,Rust,10,Unpopular
WhiteHouse/choropleth,4,9,3,1,5,JavaScript,253,Very Popular
ethereum/async-service,6,9,13,1,6,Python,155,Very Popular
education/autograding-example-cpp,7,9,1,1,0,C++,29,Average Popularity
AYIDouble/Binary-Calculator-JavaScript,48,9,8,0,6,JavaScript,253,Very Popular
benawad/apollo-link-state-tutorial,27,9,1,0,0,TypeScript,37,Average Popularity
RivaanRanawat/flutter-multiplayer-tictactoe,13,9,1,0,0,Dart,36,Average Popularity
mrdbourke/food-not-food,45,9,1,0,2,Jupyter Notebook,29,Average Popularity
mattgallagher/Clocks,102,9,1,0,0,Swift,10,Unpopular
smaranjitghose/AppleFoliarAI,7,9,3,0,3,Dockerfile,3,Unpopular
yourcelf/btb,13,8,13,4,3,Python,155,Very Popular
MrToph/eos-pay-for-user-cpu-example,10,8,1,4,0,TypeScript,37,Average Popularity
feross/chunk-store-stream,24,8,1,2,5,JavaScript,253,Very Popular
simonw/airtable-export,69,8,7,2,3,Python,155,Very Popular
rajat2502/GitHub-Battle,13,8,5,1,3,JavaScript,253,Very Popular
adrishyantee/GssocDemo,0,8,2,1,7,Java,44,Average Popularity
WhiteHouse/mobile-policy,3,8,1,1,0,CSS,37,Average Popularity
danger-ahead/flutter_dev_folio,24,8,1,1,2,Dart,36,Average Popularity
goforbg/ClickableMapView,36,8,1,1,2,Kotlin,7,Unpopular
google/actions-on-google-trivia-template-sdk,14,8,3,0,2,JavaScript,253,Very Popular
lmgonzalves/letters,57,8,1,0,2,JavaScript,253,Very Popular
ethereum/alexandria,6,8,3,0,5,Python,155,Very Popular
JayjeetAtGithub/Audition-Management-System,3,8,9,0,2,Python,155,Very Popular
AYIDouble/Deep-Learning-Machine-Learning-AI-TensorFlow-Python,19,8,2,0,2,Python,155,Very Popular
Anurag5086/Portfolio-website-themes,1,8,2,0,8,HTML,72,Average Popularity
Anurag5086/Portfolio-website-themes,1,8,2,0,8,HTML,72,Average Popularity
ankushKun/animedoro-timer,32,8,2,0,5,HTML,72,Average Popularity
Anuj-Kumar-Sharma/Rubiks_cube_Solver,26,8,1,0,0,Java,44,Average Popularity
