repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
kameshsampath/ansible-role-minikube,0,0,2,0,0,Makefile,6
kameshsampath/ansible-role-minikube,0,0,2,0,0,Makefile,6
lengstrom/Dangerous-Chef-Pioneer,5,605,1,0,0,JavaScript,253
lengstrom/Dangerous-Chef-Pioneer,5,605,1,0,0,JavaScript,253
davglass/builder,3,57,1,0,0,JavaScript,253
jigar-sable/flipkart-mern,91,49,1,0,0,JavaScript,253
jakearchibald/appcache-demo,240,44,1,0,0,Python,155
benawad/cra-redux-saga,75,41,1,0,0,JavaScript,253
shradha-khapra/ApnaCollege-Java,60,35,1,0,0,Java,44
arogozhnikov/3d_nn,166,34,1,0,0,JavaScript,253
douglascrockford/JSON-c,104,33,1,0,0,C,26
themaaz32/design_clone,38,32,1,0,0,Dart,36
taranjeet/django-library-app,49,28,1,0,0,Python,155
Vectorized/Python-KD-Tree,105,26,1,0,0,Python,155
Anuj-Kumar-Sharma/Dad-Jokes-Chrome-Extension,29,26,1,0,0,HTML,72
joelparkerhenderson/brewfile,104,24,1,0,0,Ruby,28
sayakpaul/Breast-Cancer-Detection-using-Deep-Learning,28,24,1,0,0,Jupyter Notebook,29
defuse/email-spoofing,39,22,1,0,0,Ruby,28
aviaryan/chattt,248,20,1,0,0,JavaScript,253
bradtraversy/bizlight_theme,43,18,1,0,0,CSS,37
antonmedv/chat,54,17,1,0,0,JavaScript,253
codophobia/Multi-Client-Server-Chat,14,17,1,0,0,C,26
education/autograding-example-c,7,17,1,0,0,Shell,25
felangel/codemagic_bloc_unit_tests,12,15,1,0,0,Dart,36
iamrajiv/helloworld-grpc-gateway,21,14,1,0,0,Go,15
studiomohawk/js-testing-boilerplates,12,14,1,0,0,JavaScript,253
themaaz32/audio_playere_tet,17,13,1,0,0,Dart,36
Shreeshrii/tessdata_ocrb,56,12,1,0,0,Shell,25
sayakpaul/Benchmarking-and-MLI-experiments-on-the-Adult-dataset,35,12,1,0,0,Jupyter Notebook,29
ahmedEid1/E-Learning-Platform,11,11,1,0,0,JavaScript,253
nikhilkumarsingh/discovering-hidden-apis,7,11,1,0,0,Jupyter Notebook,29
